Calf_ID, Strain, Day, Replicate, Plate_count, Broth_Enrichment
a24, A, 8, 1, 14700, NA
a24, A, 8, 2, 14500, NA
a24, A, 8, 3, 10600, NA
a24, A, 9, 1, 22000, NA
a24, A, 9, 2, 24000, NA
a24, A, 9, 3, 29000, NA
a24, A, 10, 1, 100, NA
a24, A, 10, 2, 100, NA
a24, A, 10, 3, 0, NA
a24, A, 11, 1, 100, NA
a24, A, 11, 2, 100, NA
a24, A, 11, 3, 0, NA
a24, A, 12, 1, 200, NA
a24, A, 12, 2, 0, NA
a24, A, 12, 3, 0, NA
a24, A, 13, 1, 100, NA
a24, A, 13, 2, 0, NA
a24, A, 13, 3, 0, NA
a24, A, 15, 1, 0, 0
a24, A, 15, 2, 0, 0
a24, A, 15, 3, 0, 0
a24, A, 16, 1, 0, 0
a24, A, 16, 2, 0, 0
a24, A, 16, 3, 0, 0
a24, A, 17, 1, 0, 0
a24, A, 17, 2, 0, 0
a24, A, 17, 3, 0, 0
a24, A, 18, 1, 0, 0
a24, A, 18, 2, 0, 0
a24, A, 18, 3, 0, 0
a25, A, 0, 1, 0, 0
a25, A, 0, 2, 0, 0
a25, A, 0, 3, 0, 0
a25, A, 1, 1, 0, 0
a25, A, 1, 2, 0, 0
a25, A, 1, 3, 0, 0
a25, A, 2, 1, 0, 0
a25, A, 2, 2, 0, 0
a25, A, 2, 3, 0, 0
a25, A, 3, 1, 0, 10
a25, A, 3, 2, 0, 10
a25, A, 3, 3, 0, 10
a25, A, 4, 1, 0, 0
a25, A, 4, 2, 0, 0
a25, A, 4, 3, 0, 0
a25, A, 5, 1, 0, 0
a25, A, 5, 2, 0, 0
a25, A, 5, 3, 0, 0
a25, A, 6, 1, 0, 0
a25, A, 6, 2, 0, 0
a25, A, 6, 3, 0, 0
a25, A, 7, 1, 0, 0
a25, A, 7, 2, 0, 0
a25, A, 7, 3, 0, 0
a25, A, 8, 1, 0, 0
a25, A, 8, 2, 0, 0
a25, A, 8, 3, 0, 0
a25, A, 9, 1, 0, 0
a25, A, 9, 2, 0, 0
a25, A, 9, 3, 0, 0
a25, A, 10, 1, 0, 10
a25, A, 10, 2, 0, 10
a25, A, 10, 3, 0, 10
a25, A, 11, 1, 0, 0
a25, A, 11, 2, 0, 0
a25, A, 11, 3, 0, 0
a25, A, 12, 1, 0, 0
a25, A, 12, 2, 0, 0
a25, A, 12, 3, 0, 0
a25, A, 13, 1, 0, 0
a25, A, 13, 2, 0, 0
a25, A, 13, 3, 0, 0
a25, A, 15, 1, 0, 10
a25, A, 15, 2, 0, 10
a25, A, 15, 3, 0, 10
a25, A, 16, 1, 0, 0
a25, A, 16, 2, 0, 0
a25, A, 16, 3, 0, 0
a25, A, 17, 1, 0, 0
a25, A, 17, 2, 0, 0
a25, A, 17, 3, 0, 0
a25, A, 18, 1, 0, 10
a25, A, 18, 2, 0, 10
a25, A, 18, 3, 0, 10
EnvA2, A, 0, 1, 0, NA
EnvA2, A, 0, 2, 0, NA
EnvA2, A, 0, 3, 0, NA
EnvA2, A, 1, 1, 20000, NA
EnvA2, A, 1, 2, 40000, NA
EnvA2, A, 1, 3, 50000, NA
EnvA2, A, 2, 1, 15000, NA
EnvA2, A, 2, 2, 15000, NA
EnvA2, A, 2, 3, 13000, NA
EnvA2, A, 3, 1, 20000, NA
EnvA2, A, 3, 2, 13000, NA
EnvA2, A, 3, 3, 29000, NA
EnvA2, A, 4, 1, 130000, NA
EnvA2, A, 4, 2, 100000, NA
EnvA2, A, 4, 3, 80000, NA
EnvA2, A, 5, 1, 10000, NA
EnvA2, A, 5, 2, 7000, NA
EnvA2, A, 5, 3, 8000, NA
EnvA2, A, 6, 1, 2000, NA
EnvA2, A, 6, 2, 2000, NA
EnvA2, A, 6, 3, 3000, NA
EnvA2, A, 7, 1, 1000, NA
EnvA2, A, 7, 2, 2700, NA
EnvA2, A, 7, 3, 1400, NA
EnvA2, A, 8, 1, 10900, NA
EnvA2, A, 8, 2, 9400, NA
EnvA2, A, 8, 3, 7100, NA
EnvA2, A, 9, 1, 2000, NA
EnvA2, A, 9, 2, 2000, NA
EnvA2, A, 9, 3, 3000, NA
EnvA2, A, 10, 1, 1000, NA
EnvA2, A, 10, 2, 3000, NA
EnvA2, A, 10, 3, 2000, NA
EnvA2, A, 11, 1, 600, NA
EnvA2, A, 11, 2, 500, NA
EnvA2, A, 11, 3, 300, NA
EnvA2, A, 12, 1, 1600, NA
EnvA2, A, 12, 2, 1600, NA
EnvA2, A, 12, 3, 1900, NA
EnvA2, A, 13, 1, 100, NA
EnvA2, A, 13, 2, 0, NA
EnvA2, A, 13, 3, 0, NA
EnvA2, A, 15, 1, 800, NA
EnvA2, A, 15, 2, 900, NA
EnvA2, A, 15, 3, 800, NA
EnvA2, A, 16, 1, 300, NA
EnvA2, A, 16, 2, 500, NA
EnvA2, A, 16, 3, 100, NA
EnvA2, A, 17, 1, 800, NA
EnvA2, A, 17, 2, 200, NA
EnvA2, A, 17, 3, 900, NA
EnvA2, A, 18, 1, 100, NA
EnvA2, A, 18, 2, 0, NA
EnvA2, A, 18, 3, 0, NA
a31, A, 0, 1, 0, 0
a31, A, 0, 2, 0, 0
a31, A, 0, 3, 0, 0
a31, A, 1, 1, 0, 0
a31, A, 1, 2, 0, 0
a31, A, 1, 3, 0, 0
a31, A, 2, 1, 0, 10
a31, A, 2, 2, 0, 10
a31, A, 2, 3, 0, 10
a31, A, 3, 1, 100, NA
a31, A, 3, 2, 0, NA
a31, A, 3, 3, 0, NA
a31, A, 4, 1, 0, 10
a31, A, 4, 2, 0, 10
a31, A, 4, 3, 0, 10
a31, A, 5, 1, 0, 0
a31, A, 5, 2, 0, 0
a31, A, 5, 3, 0, 0
a31, A, 6, 1, 0, 0
a31, A, 6, 2, 0, 0
a31, A, 6, 3, 0, 0
a31, A, 7, 1, 0, 0
a31, A, 7, 2, 0, 0
a31, A, 7, 3, 0, 0
a31, A, 8, 1, 0, 0
a31, A, 8, 2, 0, 0
a31, A, 8, 3, 0, 0
a31, A, 9, 1, 0, 0
a31, A, 9, 2, 0, 0
a31, A, 9, 3, 0, 0
a31, A, 10, 1, 0, 0
a31, A, 10, 2, 0, 0
a31, A, 10, 3, 0, 0
a31, A, 11, 1, 0, 0
a31, A, 11, 2, 0, 0
a31, A, 11, 3, 0, 0
a31, A, 12, 1, NA, NA
a31, A, 12, 2, NA, NA
a31, A, 12, 3, NA, NA
a31, A, 13, 1, 0, 0
a31, A, 13, 2, 0, 0
a31, A, 13, 3, 0, 0
a31, A, 15, 1, 0, 0
a31, A, 15, 2, 0, 0
a31, A, 15, 3, 0, 0
a31, A, 16, 1, 0, 0
a31, A, 16, 2, 0, 0
a31, A, 16, 3, 0, 0
a31, A, 17, 1, 0, 0
a31, A, 17, 2, 0, 0
a31, A, 17, 3, 0, 0
a31, A, 18, 1, 0, 10
a31, A, 18, 2, 0, 10
a31, A, 18, 3, 0, 10
a32, A, 0, 1, 0, 0
a32, A, 0, 2, 0, 0
a32, A, 0, 3, 0, 0
a32, A, 1, 1, 0, 0
a32, A, 1, 2, 0, 0
a32, A, 1, 3, 0, 0
a32, A, 2, 1, 0, 0
a32, A, 2, 2, 0, 0
a32, A, 2, 3, 0, 0
a32, A, 3, 1, 0, 0
a32, A, 3, 2, 0, 0
a32, A, 3, 3, 0, 0
a32, A, 4, 1, 0, 0
a32, A, 4, 2, 0, 0
a32, A, 4, 3, 0, 0
a32, A, 5, 1, 0, 0
a32, A, 5, 2, 0, 0
a32, A, 5, 3, 0, 0
a32, A, 6, 1, 0, 0
a32, A, 6, 2, 0, 0
a32, A, 6, 3, 0, 0
a32, A, 7, 1, 0, 0
a32, A, 7, 2, 0, 0
a32, A, 7, 3, 0, 0
a32, A, 8, 1, 0, 0
a32, A, 8, 2, 0, 0
a32, A, 8, 3, 0, 0
a32, A, 9, 1, 0, 0
a32, A, 9, 2, 0, 0
a32, A, 9, 3, 0, 0
a32, A, 10, 1, 0, 0
a32, A, 10, 2, 0, 0
a32, A, 10, 3, 0, 0
a32, A, 11, 1, 0, 0
a32, A, 11, 2, 0, 0
a32, A, 11, 3, 0, 0
a32, A, 12, 1, NA, NA
a32, A, 12, 2, NA, NA
a32, A, 12, 3, NA, NA
a32, A, 13, 1, 0, 0
a32, A, 13, 2, 0, 0
a32, A, 13, 3, 0, 0
a32, A, 15, 1, 0, 0
a32, A, 15, 2, 0, 0
a32, A, 15, 3, 0, 0
a32, A, 16, 1, 0, 0
a32, A, 16, 2, 0, 0
a32, A, 16, 3, 0, 0
a32, A, 17, 1, 0, 0
a32, A, 17, 2, 0, 0
a32, A, 17, 3, 0, 0
a32, A, 18, 1, 0, 0
a32, A, 18, 2, 0, 0
a32, A, 18, 3, 0, 0
a33, A, 0, 1, 0, 0
a33, A, 0, 2, 0, 0
a33, A, 0, 3, 0, 0
a33, A, 1, 1, 0, 0
a33, A, 1, 2, 0, 0
a33, A, 1, 3, 0, 0
a33, A, 2, 1, 0, 0
a33, A, 2, 2, 0, 0
a33, A, 2, 3, 0, 0
a33, A, 3, 1, 0, 10
a33, A, 3, 2, 0, 10
a33, A, 3, 3, 0, 10
a33, A, 4, 1, 0, 10
a33, A, 4, 2, 0, 10
a33, A, 4, 3, 0, 10
a33, A, 5, 1, 0, 0
a33, A, 5, 2, 0, 0
a33, A, 5, 3, 0, 0
a33, A, 6, 1, 0, 0
a33, A, 6, 2, 0, 0
a33, A, 6, 3, 0, 0
a33, A, 7, 1, 0, 0
a33, A, 7, 2, 0, 0
a33, A, 7, 3, 0, 0
a33, A, 8, 1, 0, 0
a33, A, 8, 2, 0, 0
a33, A, 8, 3, 0, 0
a33, A, 9, 1, 0, 0
a33, A, 9, 2, 0, 0
a33, A, 9, 3, 0, 0
a33, A, 10, 1, 0, 0
a33, A, 10, 2, 0, 0
a33, A, 10, 3, 0, 0
a33, A, 11, 1, 0, 0
a33, A, 11, 2, 0, 0
a33, A, 11, 3, 0, 0
a33, A, 12, 1, NA, NA
a33, A, 12, 2, NA, NA
a33, A, 12, 3, NA, NA
a33, A, 13, 1, 0, 0
a33, A, 13, 2, 0, 0
a33, A, 13, 3, 0, 0
a33, A, 15, 1, 0, 0
a33, A, 15, 2, 0, 0
a33, A, 15, 3, 0, 0
a33, A, 16, 1, 0, 0
a33, A, 16, 2, 0, 0
a33, A, 16, 3, 0, 0
a33, A, 17, 1, 0, 0
a33, A, 17, 2, 0, 0
a33, A, 17, 3, 0, 0
a33, A, 18, 1, 0, 0
a33, A, 18, 2, 0, 0
a33, A, 18, 3, 0, 0
a34, A, 0, 1, 0, 0
a34, A, 0, 2, 0, 0
a34, A, 0, 3, 0, 0
a34, A, 1, 1, 0, 0
a34, A, 1, 2, 0, 0
a34, A, 1, 3, 0, 0
a34, A, 2, 1, 0, 0
a34, A, 2, 2, 0, 0
a34, A, 2, 3, 0, 0
a34, A, 3, 1, 0, 0
a34, A, 3, 2, 0, 0
a34, A, 3, 3, 0, 0
a34, A, 4, 1, 0, 10
a34, A, 4, 2, 0, 10
a34, A, 4, 3, 0, 10
a34, A, 5, 1, 0, 0
a34, A, 5, 2, 0, 0
a34, A, 5, 3, 0, 0
a34, A, 6, 1, 0, 10
a34, A, 6, 2, 0, 10
a34, A, 6, 3, 0, 10
a34, A, 7, 1, 0, 0
a34, A, 7, 2, 0, 0
a34, A, 7, 3, 0, 0
a34, A, 8, 1, 0, 0
a34, A, 8, 2, 0, 0
a34, A, 8, 3, 0, 0
a34, A, 9, 1, 0, 10
a34, A, 9, 2, 0, 10
a34, A, 9, 3, 0, 10
a34, A, 10, 1, 0, 0
a34, A, 10, 2, 0, 0
a34, A, 10, 3, 0, 0
a34, A, 11, 1, 0, 0
a34, A, 11, 2, 0, 0
a34, A, 11, 3, 0, 0
a34, A, 12, 1, NA, NA
a34, A, 12, 2, NA, NA
a34, A, 12, 3, NA, NA
a34, A, 13, 1, 0, 0
a34, A, 13, 2, 0, 0
a34, A, 13, 3, 0, 0
a34, A, 15, 1, 0, 10
a34, A, 15, 2, 0, 10
a34, A, 15, 3, 0, 10
a34, A, 16, 1, 0, 0
a34, A, 16, 2, 0, 0
a34, A, 16, 3, 0, 0
a34, A, 17, 1, 0, 0
a34, A, 17, 2, 0, 0
a34, A, 17, 3, 0, 0
a34, A, 18, 1, 0, 0
a34, A, 18, 2, 0, 0
a34, A, 18, 3, 0, 0
a35, A, 0, 1, 0, 0
a35, A, 0, 2, 0, 0
a35, A, 0, 3, 0, 0
a35, A, 1, 1, 0, 0
a35, A, 1, 2, 0, 0
a35, A, 1, 3, 0, 0
